day	hour	value	showName	description
1	24	18.5	Hour of Slack	Church of the subgenius	
1	1	17.33	Bob’s Slacktime Funhouse	“Bob” says, “Too much is always better than not enough!” Get twice the Slack with Rev. Susie the Floozie and the DOKTORS of the LYMPH NODE INSTITUTE as they give you a schizophreniatric workout of epic proportions.	
1	2	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
1	3	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
1	4	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
1	5	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
1	6	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
1	7	13	Public Affairs	Syndicated shows such as 51 Percent, Network Europe, and Alternative Radio.	
1	8	13	Public Affairs	Syndicated shows such as 51 Percent, Network Europe, and Alternative Radio.	
1	9	13	Public Affairs	Syndicated shows such as 51 Percent, Network Europe, and Alternative Radio.	
1	10	13	Public Affairs	Syndicated shows such as 51 Percent, Network Europe, and Alternative Radio.	
1	11	13	Public Affairs	Syndicated shows such as 51 Percent, Network Europe, and Alternative Radio.	
1	12	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
1	13	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
1	14	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
1	15	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
1	16	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
1	17	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
1	18	13.33	Mode 7	Mode 7 plays the best of video game music. Original soundtracks, classic 8 bit tunes and awesome techno remixes, we play them all.	
1	19	12.33	Sunday Special	Every Sunday is a different special. The Sunday Special gives WREK’s DJs some time to use their imaginations and do a little experimentation. Sometimes Sunday Specials focus on a specific genre that we don’t cover in depth here at WREK. Sometimes we highlight a particular artist. It is always exciting. Tune in to hear our DJ’s favorite music.	
1	20	12.33	Sunday Special	Every Sunday is a different special. The Sunday Special gives WREK’s DJs some time to use their imaginations and do a little experimentation. Sometimes Sunday Specials focus on a specific genre that we don’t cover in depth here at WREK. Sometimes we highlight a particular artist. It is always exciting. Tune in to hear our DJ’s favorite music.	
1	21	14	Back Alley Pork Roost	WREK’s country, bluegrass, folk, and American traditional show. Your hosts play the music that Nashville has forgotten or doesn’t want you to hear – The Good Stuff!! We play a diverse assortment of music ranging from mountain ballads of the Appalachians to the zydeco music of the Cajun people. Artists ranging from Fiddlin’ John Carson to Lester Flatts and Earl Scruggs to the Infamous Stringdusters. You’ll hear music recorded 80 years ago, and music recorded just a few months ago. Tune in Sunday nights from 9PM-10PM to hear for yourself!	
1	22	12.5	Personality Crisis	While conspiracy lunatics try to come to grips with what Duchovny and Anderson are doing on “The X-Files”, one man couldn’t care less. That’s because his name is Jon, and he’s preparing to dazzle his listeners with the latest or greatest in the new music category (new wave, punk, electronic, etc.). Since time began (or so it seems), Personality Crisis has solved budget crises, helped bring down the Berlin Wall, brought Keith Lockhart out of a hitting slump, and won awards. Well, one award. Tune in Sunday nights if you’ve got a problem.	
1	23	12.5	Personality Crisis	While conspiracy lunatics try to come to grips with what Duchovny and Anderson are doing on “The X-Files”, one man couldn’t care less. That’s because his name is Jon, and he’s preparing to dazzle his listeners with the latest or greatest in the new music category (new wave, punk, electronic, etc.). Since time began (or so it seems), Personality Crisis has solved budget crises, helped bring down the Berlin Wall, brought Keith Lockhart out of a hitting slump, and won awards. Well, one award. Tune in Sunday nights if you’ve got a problem.	
2	24	11.5	Atmospherics	Ambient, drone; spaced-out textures for deep meditation.	
2	1	11.5	Atmospherics	Ambient, drone; spaced-out textures for deep meditation.	
2	2	11.02	Overnight Alternatives	A 4.5-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics… In other words, the most extreme music on the radio.	
2	3	11.02	Overnight Alternatives	A 4.5-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics… In other words, the most extreme music on the radio.	
2	4	11.02	Overnight Alternatives	A 4.5-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics… In other words, the most extreme music on the radio.	
2	5	11.02	Overnight Alternatives	A 4.5-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics… In other words, the most extreme music on the radio.	
2	6	13.15	Classics	WREK’s classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today’s most innovative composers. A refreshing alternative to classical programming on other non-commercial stations.	
2	7	13.15	Classics	WREK’s classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today’s most innovative composers. A refreshing alternative to classical programming on other non-commercial stations.	
2	8	13.15	Classics	WREK’s classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today’s most innovative composers. A refreshing alternative to classical programming on other non-commercial stations.	
2	9	16.49	Jazz	The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission.	
2	10	16.49	Jazz	The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission.	
2	11	16.49	Jazz	The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission.	
2	12	14.67	North Avenue Lounge	"The North Avenue Lounge is WREK’s interview show.

Every Monday at noon, you can hear a conversation with almost anyone: artists, writers, professors, students, scientists, engineers, musicians, and other fascinating people from Georgia Tech and elsewhere.

We’ve talked about everything from building an astrophysics lab to dancing ballet to being a blacksmith.

Tune in each Monday at noon to hear an interesting conversation about almost anything."	
2	13	16.05	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
2	14	16.05	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
2	15	16.05	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
2	16	16.05	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
2	17	16.05	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
2	18	14	50 Pounds of Rice	Welcome to the sounds of the far east. 50 Pounds of Rice is a show dedicated to playing Asian music. Every show features music from Cambodia, Vietnam, China, Japan, Korea, Thailand, and many more countries. Whether it’s music played from albums bought off the back of a bicycle or from my family’s private stash of music, you can be sure that this music is the very best of what the Orient has to offer. The music of the Asian continent is filled with thousands of years of tradition and culture. Sometimes we play pristine recordings of traditional folk music and other times we play a hybrid blend of east and western music to emerge. The only way to find out what is going on is to listen every Monday from 6 to 7 PM here on WREK Atlanta.	
2	19	11.67	Kosher Noise	Kosher Noise weaves together all the voices of the Diaspora, bringing together genres such as Israeli hip-hop, klezmer funk, Jewish reggae, and traditional (with a modern twist!). Listen in for interviews with local musicians, current event discussions, Hebrew word of the day, and contest giveaways. Featuring such Jewish artists as Hadag Nachash, Idan Raichel, Abraham Inc., Shotey Hanevuah, the Bible Raps Project, Chai Fi, and DeLeon, it’s a veritable falafel patty of Judaism’s most interesting artists, brought to you by your host, DJ Meltz.	
2	20	11.17	Shillelagh Law	Irish, Scottish, Welsh, and Celtic music.	
2	21	11.67	Sub-Saharan Vibes	STILL NOT AN AFRO-POP SHOW! King Sunny Ade, Fela, Miriam Makeba, Master Drummers of Dagbon, people whose names we don’t even know. From the modern to the ancient. Your hosts try to prove that African Music really is a “Vast Sprawling Cornucopia of Sound”. Fortunately, that’s not an especially hard task.	
2	22	11.07	Continental Drift	Continental Drift is Atlanta’s longest running international music radio program. Featuring quality traditional and contemporary music from around the planet, you can listen to the world on Continental Drift.	
2	23	11.07	Continental Drift	Continental Drift is Atlanta’s longest running international music radio program. Featuring quality traditional and contemporary music from around the planet, you can listen to the world on Continental Drift.	
3	24	11.5	Atmospherics	Ambient, drone; spaced-out textures for deep meditation.	
3	1	11.5	Atmospherics	Ambient, drone; spaced-out textures for deep meditation.	
3	2	10.57	Overnight Alternatives	A 4.5-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics… In other words, the most extreme music on the radio.	
3	3	11.14	Overnight Alternatives	A 4.5-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics… In other words, the most extreme music on the radio.	
3	4	11.71	Overnight Alternatives	A 4.5-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics… In other words, the most extreme music on the radio.	
3	5	11.86	Overnight Alternatives	A 4.5-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics… In other words, the most extreme music on the radio.	
3	6	11.71	Classics	WREK’s classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today’s most innovative composers. A refreshing alternative to classical programming on other non-commercial stations.	
3	7	12.14	Classics	WREK’s classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today’s most innovative composers. A refreshing alternative to classical programming on other non-commercial stations.	
3	8	14.14	Classics	WREK’s classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today’s most innovative composers. A refreshing alternative to classical programming on other non-commercial stations.	
3	9	15.86	Jazz	The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission.	
3	10	17.14	Jazz	The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission.	
3	11	18.14	Jazz	The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission.	
3	12	15.43	Let’s Talk Business	Let’s Talk Business is an award winning talk show focused on Entrepreneurship, Small Business, Innovation and Youth Empowerment. To hear other previous Let’s Talk Business shows, go to the Entrepreneur Hall of Fame & Museum atwww.theehalloffame.com, or also listen at the Let’s Talk Business Network atwww.ltbn.com. Feel free to send e-mail to Mitch on the air or anytime at mitch@ltbn.com.	
3	13	15.57	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
