created_at,main_128,Mondays
Continental Drift,10, 
Continental Drift,10,
Tuesday-Atmospherics,11,
Tuesday-Atmospherics,14,
Tuesday-Overnight,12,
Tuesday-Overnight,11,
Tuesday-Overnight,12,
Tuesday-Overnight,12,
Tuesday-Classics,13,
Tuesday-Classics,12,
Tuesday-Classics,14,
Tuesday-Jazz,15,
Tuesday-Jazz,15,
Tuesday-Jazz,16,
Let's Talk Business,15,
Tuesday-RRR,13,
Tuesday-RRR,14,
Tuesday-RRR,16,
Tuesday-RRR,16,
Tuesday-RRR,13,
The REAL Gold Soundz,37,
Underground Recordings,47,
Radiobomb,50,
Longboards Show,33,
Live @ WREK,18,
New Forces,14,
Wednesday-Atmospherics,13,
Wednesday-Atmospherics,15,
Wednesday-Overnight,12,
Wednesday-Overnight,8,
Wednesday-Overnight,9,
Wednesday-Overnight,8,
Wednesday-Classics,8,
Wednesday-Classics,9,
Wednesday-Classics,13,
Wednesday-Jazz,13,
Wednesday-Jazz,16,
Wednesday-Jazz,15,
Inside the Black Box,10,
Wednesday-RRR,9,
Wednesday-RRR,14,
Wednesday-RRR,14,
Wednesday-RRR,14,
Wednesday-RRR,14,
Ramblin' WREK Report,11,
The Mobius,10,
The Mobius,14,
Destroy All Music,14,
Friction,12,
Psych-Out!,14,
Atmospherics,14,
Thursday-Overnight,11,
Thursday-Overnight,10,
Thursday-Overnight,11,
Thursday-Overnight,10,
Thursday-Overnight,10,
Thursday-Classics,10,
Thursday-Classics,9,
Thursday-Classics,14,
Thursday-Jazz,16,
Thursday-Jazz,16,
Thursday-Jazz,16,
Thursday-RRR,15,
Thursday-RRR,18,
Thursday-RRR,17,
Thursday-RRR,15,
Thursday-RRR,19,
Thursday-RRR,14,
Tech Talk,11,
Sci-Fi Lab,9,
54-46,9,
WREKroom Renaissance-8,15,
WREKroom Ren. - 9,18,
Electric Boogaloo,13,
Atmospherics,9,
Atmospherics,10,
Overnight Alternatives,9,
Overnight Alternatives,10,
Overnight Alternatives,10,
Overnight Alternatives,9,
Classics,11,
Classics,12,
Classics,13,
Jazz,15,
Jazz,15,
Jazz,15,
Lost in the Stacks,13,
RRR,12,
RRR,12,
RRR,12,
"RRR
",15,
RRR,27,
FNFF,25,
FNFF,23,
FNFF,27,
Stonehenge,27,
Stonehenge,29,
Stonehenge,18,
WREKage,18,
WREKage,19,
WREKage,15,
WREKage,10,
WREKage,9,
WREKage,9,
Weekend,10,
Weekend,10,
Weekend,11,
Weekend,9,
Weekend,12,
Weekend,13,
Weekend,17,
Weekend,13,
Weekend,13,
Weekend,28,
Weekend,43,
Weekend,48,
The Desoto Hour,39,
The Desoto Hour,21,
Coffee & Sushi,25,
EDM Sound System,31,
EDM Sound System,17,
EDM Sound System,13,
Hour of Slack,15,
Bob's Slacktime Funhouse,13,
Weekend,12,
Weekend,11,
Weekend,10,
Weekend,10,
Weekend,10,
Public Affairs,10,
Public Affairs,11,
Public Affairs,10,
Public Affairs,10,
Public Affairs,12,
Public Affairs,12,
Weekend,11,
Weekend,11,
Weekend,11,
Weekend,10,
Weekend,10,
Mode 7,11,
Sunday Special,12,
Sunday Special,11,
BAPR,10,
Personality Crisis,11,
Personality Crisis,11,
Atmospherics,11,
Atmospherics,8,
Overnight Alternatives,9,
Overnight Alternatives,9,
Overnight Alternatives,10,
Overnight Alternatives,10,
Classics,10,
Classics,11,
Classics,13,
Jazz,14,
Jazz,12,
Jazz,13,
North Avenue Lounge,11,
RRR,12,
RRR,12,
RRR,13,
RRR,12,
RRR,12,
Gold Soundz,11,
Kosher Noise,8,
Shillelagh Law,10,
Sub-Saharan Vibes,10,
Continental Drift,8,
Continental Drift,8,
Tuesday-Atmospherics,8,
Tuesday-Atmospherics,9,
Tuesday-Overnight,9,
Tuesday-Overnight,10,
Tuesday-Overnight,10,
Tuesday-Overnight,10,
Tuesday-Classics,10,
Tuesday-Classics,11,
Tuesday-Classics,10,
Tuesday-Jazz,11,
Tuesday-Jazz,13,
Tuesday-Jazz,17,
Let's Talk Business,12,
Tuesday-RRR,12,
Tuesday-RRR,13,
Tuesday-RRR,14,
Tuesday-RRR,14,
Tuesday-RRR,15,
The REAL Gold Soundz,35,
Underground Recordings,52,
Radiobomb,54,
Longboards Show,17,
Live @ WREK,14,
New Forces,13,
Wednesday-Atmospherics,13,
Wednesday-Atmospherics,14,
Wednesday-Overnight,10,
Wednesday-Overnight,10,
Wednesday-Overnight,11,
Wednesday-Overnight,12,
Wednesday-Classics,11,
Wednesday-Classics,11,
Wednesday-Classics,13,
Wednesday-Jazz,17,
Wednesday-Jazz,22,
Wednesday-Jazz,19,
Inside the Black Box,11,
Wednesday-RRR,11,
Wednesday-RRR,13,
Wednesday-RRR,15,
Wednesday-RRR,13,
Wednesday-RRR,12,
Ramblin' WREK Report,40,
The Mobius,60,
The Mobius,56,
Destroy All Music,19,
Friction,15,
Psych-Out!,15,
Atmospherics,13,
Thursday-Overnight,13,
Thursday-Overnight,11,
Thursday-Overnight,12,
Thursday-Overnight,11,
Thursday-Overnight,11,
Thursday-Classics,12,
Thursday-Classics,12,
Thursday-Classics,13,
Thursday-Jazz,13,
Thursday-Jazz,14,
Thursday-Jazz,14,
Thursday-RRR,15,
Thursday-RRR,15,
Thursday-RRR,12,
Thursday-RRR,12,
Thursday-RRR,13,
Thursday-RRR,14,
Tech Talk,13,
Sci-Fi Lab,11,
54-46,8,
WREKroom Renaissance-8,13,
WREKroom Ren. - 9,16,
Electric Boogaloo,14,
Atmospherics,10,
Atmospherics,8,
Overnight Alternatives,8,
Overnight Alternatives,8,
Overnight Alternatives,9,
Overnight Alternatives,9,
Classics,9,
Classics,12,
Classics,13,
Jazz,11,
Jazz,14,
Jazz,14,
Lost in the Stacks,15,
RRR,12,
RRR,14,
RRR,13,
"RRR
",13,
RRR,23,
FNFF,27,
FNFF,29,
FNFF,29,
Stonehenge,35,
Stonehenge,37,
Stonehenge,38,
WREKage,21,
WREKage,17,
WREKage,15,
WREKage,15,
WREKage,14,
WREKage,11,
Weekend,13,
Weekend,11,
Weekend,12,
Weekend,14,
Weekend,13,
Weekend,14,
Weekend,16,
Weekend,20,
Weekend,31,
Weekend,29,
Weekend,30,
Weekend,29,
The Desoto Hour,32,
The Desoto Hour,28,
Coffee & Sushi,40,
EDM Sound System,41,
EDM Sound System,36,
EDM Sound System,18,
Hour of Slack,19,
Bob's Slacktime Funhouse,18,
Weekend,14,
Weekend,12,
Weekend,11,
Weekend,11,
Weekend,13,
Public Affairs,12,
Public Affairs,12,
Public Affairs,12,
Public Affairs,13,
Public Affairs,16,
Public Affairs,14,
Weekend,15,
Weekend,15,
Weekend,14,
Weekend,11,
Weekend,13,
Mode 7,15,
Sunday Special,12,
Sunday Special,12,
BAPR,12,
Personality Crisis,12,
Personality Crisis,13,
Atmospherics,11,
Atmospherics,11,
Overnight Alternatives,11,
Overnight Alternatives,13,
Overnight Alternatives,14,
Overnight Alternatives,13,
Classics,12,
Classics,14,
Classics,16,
Jazz,18,
Jazz,12,
Jazz,14,
North Avenue Lounge,13,
RRR,14,
RRR,15,
RRR,18,
RRR,16,
RRR,14,
Gold Soundz,16,
Kosher Noise,13,
Shillelagh Law,11,
Sub-Saharan Vibes,12,
Continental Drift,11,
Continental Drift,11,
Tuesday-Atmospherics,11,
Tuesday-Atmospherics,10,
Tuesday-Overnight,9,
Tuesday-Overnight,10,
Tuesday-Overnight,10,
Tuesday-Overnight,10,
Tuesday-Classics,10,
Tuesday-Classics,11,
Tuesday-Classics,12,
Tuesday-Jazz,14,
Tuesday-Jazz,15,
Tuesday-Jazz,17,
Let's Talk Business,17,
Tuesday-RRR,19,
Tuesday-RRR,20,
Tuesday-RRR,21,
Tuesday-RRR,21,
Tuesday-RRR,22,
The REAL Gold Soundz,60,
Underground Recordings,82,
Radiobomb,72,
Longboards Show,20,
Live @ WREK,17,
New Forces,13,
Wednesday-Atmospherics,12,
Wednesday-Atmospherics,13,
Wednesday-Overnight,11,
Wednesday-Overnight,12,
Wednesday-Overnight,12,
Wednesday-Overnight,12,
Wednesday-Classics,13,
Wednesday-Classics,12,
Wednesday-Classics,14,
Wednesday-Jazz,17,
Wednesday-Jazz,23,
Wednesday-Jazz,22,
Inside the Black Box,17,
Wednesday-RRR,16,
Wednesday-RRR,17,
Wednesday-RRR,19,
Wednesday-RRR,17,
Wednesday-RRR,14,
Ramblin' WREK Report,11,
The Mobius,10,
The Mobius,11,
Destroy All Music,12,
Friction,11,
Psych-Out!,13,
Atmospherics,11,
Thursday-Overnight,11,
Thursday-Overnight,11,
Thursday-Overnight,11,
Thursday-Overnight,11,
Thursday-Overnight,10,
Thursday-Classics,10,
Thursday-Classics,11,
Thursday-Classics,14,
Thursday-Jazz,14,
Thursday-Jazz,14,
Thursday-Jazz,16,
Thursday-RRR,15,
Thursday-RRR,19,
Thursday-RRR,19,
Thursday-RRR,18,
Thursday-RRR,17,
Thursday-RRR,13,
Tech Talk,11,
Sci-Fi Lab,10,
54-46,11,
WREKroom Renaissance-8,11,
WREKroom Ren. - 9,13,
Electric Boogaloo,12,
Atmospherics,9,
Atmospherics,8,
Overnight Alternatives,7,
Overnight Alternatives,7,
Overnight Alternatives,8,
Overnight Alternatives,9,
Classics,9,
Classics,11,
Classics,12,
Jazz,15,
Jazz,17,
Jazz,20,
Lost in the Stacks,18,
RRR,18,
RRR,18,
RRR,18,
"RRR
",18,
RRR,44,
FNFF,76,
FNFF,101,
FNFF,112,
Stonehenge,79,
Stonehenge,34,
Stonehenge,33,
WREKage,24,
WREKage,17,
WREKage,14,
WREKage,14,
WREKage,13,
WREKage,14,
Weekend,13,
Weekend,13,
Weekend,15,
Weekend,33,
Weekend,74,
Weekend,78,
Weekend,27,
Weekend,22,
Weekend,20,
Weekend,22,
Weekend,17,
Weekend,17,
The Desoto Hour,18,
The Desoto Hour,18,
Coffee & Sushi,12,
EDM Sound System,14,
EDM Sound System,15,
EDM Sound System,13,
Hour of Slack,19,
Bob's Slacktime Funhouse,20,
Weekend,17,
Weekend,13,
Weekend,13,
Weekend,12,
Weekend,12,
Public Affairs,12,
